Field,series,Mean,Median,Min,Max,Variance,P2P_amplitude,Trend_slope,Spectral_centroid,Spectral_rolloff,Spectral_entropy,Strength_of_trend,Mean_crossing_rate,Median_crossing_rate,is_stationary
,kalimati_tarkari_dataset_22,149.3575631706473,155.0,42.5,295.0,1638.5777560556303,252.5,-0.0014554365206234,0.1107100913955689,0.4295604015230184,0.5988621953334669,2.3264978501276463,0.0855263157894736,0.1513157894736842,True
,kalimati_tarkari_dataset_23,70.1472827968155,67.5,10.0,185.0,856.8548221425879,175.0,0.0069185469837325,0.1230112044627332,0.439944617514711,0.3882803129251935,2.66870180352541,0.0754847645429362,0.0907202216066482,True
,kalimati_tarkari_dataset_24,47.799930771893386,36.5,17.5,215.0,967.5672758692156,197.5,0.0070428482259477,0.0647665141506308,0.3703703703703704,0.3857935978209486,8.971887838815942,0.0083102493074792,0.0335872576177285,False
,kalimati_tarkari_dataset_25,72.81118033921773,62.5,17.5,237.5,1557.7411730270123,220.0,0.0173842820420308,0.1090053305308521,0.4326756663205262,0.472705117644825,3.4862701655789663,0.0450138504155124,0.0647506925207756,True
,kalimati_tarkari_dataset_26,100.73468328141226,105.0,55.0,165.0,347.156242552855,110.0,0.0171051862683735,0.085975489530633,0.4049844236760125,0.4898410681081686,3.369899110256285,0.0231994459833795,0.0422437673130193,False
,kalimati_tarkari_dataset_27,212.6263412945656,205.0,85.0,495.0,2788.730143796284,410.0,-0.0109533527250198,0.0926136126194132,0.4233298719280028,0.469814640019798,3.4747807774118105,0.0308171745152354,0.0484764542936288,False
,kalimati_tarkari_dataset_28,35.21616476289373,31.5,15.0,113.5,229.7165992058056,98.5,0.0078368059378258,0.0701005558745739,0.3894080996884735,0.3387299123755604,7.496343806882992,0.0211218836565096,0.0412049861495844,False
,kalimati_tarkari_dataset_29,29.90913811007269,27.5,12.5,65.0,64.85320136860277,52.5,0.0052210537901472,0.0921902493806406,0.4209068881966079,0.4469524413993847,3.6897043424318943,0.0308171745152354,0.070983379501385,True
,kalimati_tarkari_dataset_30,25.756663205261336,22.5,6.5,77.5,149.5543212991695,71.0,0.0043055454404777,0.1131183210341021,0.4323295257874697,0.5246738075391534,2.969279870697434,0.0474376731301939,0.0903739612188365,True
,kalimati_tarkari_dataset_31,60.06922810661128,55.0,12.0,235.0,587.0002265069829,223.0,0.0098145664127242,0.1049798603110336,0.4174454828660436,0.5714581073204094,2.9386725405093297,0.0526315789473684,0.0699445983379501,True
,kalimati_tarkari_dataset_32,70.57718933887158,65.0,32.5,350.0,356.3692581437913,317.5,0.0035964717692981,0.1330242654300864,0.4503288335064036,0.5562798727456659,2.033789741361611,0.0304709141274238,0.0706371191135734,False
,kalimati_tarkari_dataset_33,113.22862582208376,115.0,55.0,155.0,567.3991840236811,100.0,0.0263281987954333,0.060766334074588,0.3828314295604015,0.2390463626504188,8.152724345357194,0.006578947368421,0.0083102493074792,False
,kalimati_tarkari_dataset_34,79.81221876081689,85.0,55.0,290.0,231.78587008575087,235.0,0.0107339637796308,0.1548482291368589,0.457251644167532,0.5673402132556742,1.3360511220549922,0.0093490304709141,0.0131578947368421,False
,kalimati_tarkari_dataset_35,38.08757355486328,35.0,10.0,117.5,283.35231702686985,107.5,0.0002610055853443,0.1009661951003931,0.4077535479404638,0.6057929772924927,2.969064212471441,0.0685595567867036,0.0972991689750692,True
